gene_id	AGI_LocusCode
6530296066	AT1G04830
2010651	AT1G04840
2010636	AT1G04850
2010621	AT1G04860
2010606	AT1G04870
1005715709	AT1G04870
2010586	AT1G04880
2010571	AT1G04890
2010566	AT1G04900
2010656	AT1G04910
2010646	AT1G04920
2010631	AT1G04930
6530296067	AT1G04930
2010616	AT1G04940
4010711664	AT1G04945
4010711665	AT1G04945
6530296068	AT1G04945
1005715708	AT1G04950
1009021211	AT1G04950
2010666	AT1G04950
2010601	AT1G04960
4010711666	AT1G04960
1005715710	AT1G04970
2010591	AT1G04970
2010576	AT1G04980
2824356	AT1G04985
2010561	AT1G04990
1006229560	AT1G04990
5019473863	AT1G05000
2205512	AT1G05000
2205567	AT1G05010
2205557	AT1G05020
2205547	AT1G05030
2205517	AT1G05040
4515100491	AT1G05040
504953951	AT1G05055
2205552	AT1G05060
5019473864	AT1G05061
504953950	AT1G05065
2205542	AT1G05070
2205532	AT1G05080
1006229979	AT1G05085
2205527	AT1G05090
2205522	AT1G05100
3436064	AT1G05120
1005715077	AT1G05135
4515100492	AT1G05136
2207144	AT1G05140
2207254	AT1G05150
2207239	AT1G05160
2207224	AT1G05170
4010711667	AT1G05170
1006230001	AT1G05180
1009021204	AT1G05180
2207219	AT1G05180
2207189	AT1G05190
2207164	AT1G05200
1009021203	AT1G05200
3693548	AT1G05205
2207149	AT1G05210
2207249	AT1G05220
4515100493	AT1G05220
1005715078	AT1G05230
4515100494	AT1G05230
6530296069	AT1G05230
2207234	AT1G05230
2817951	AT1G05240
2207214	AT1G05250
2207209	AT1G05260
2207204	AT1G05270
2207169	AT1G05280
2207154	AT1G05290
4515100495	AT1G05291
1006230000	AT1G05300
2207139	AT1G05300
2207244	AT1G05310
2207229	AT1G05320
1009021206	AT1G05320
1009021207	AT1G05320
2207199	AT1G05330
2207194	AT1G05340
2207184	AT1G05350
2207179	AT1G05360
3693543	AT1G05370
4515100496	AT1G05380
2201020	AT1G05380
3692717	AT1G05385
1005715161	AT1G05390
5019473865	AT1G05400
2201000	AT1G05400
2201055	AT1G05410
1009021173	AT1G05410
2201010	AT1G05420
2201075	AT1G05430
2201085	AT1G05440
2201045	AT1G05450
1006229934	AT1G05450
2200995	AT1G05460
2201015	AT1G05470
3435080	AT1G05490
3435092	AT1G05500
3435096	AT1G05510
3435100	AT1G05520
3435104	AT1G05530
3435108	AT1G05540
3435112	AT1G05550
5019473866	AT1G05550
6530296070	AT1G05550
3435088	AT1G05560
6530296071	AT1G05562
6530296072	AT1G05570
2031937	AT1G05570
3690488	AT1G05575
504954074	AT1G05577
1009021219	AT1G05580
2031967	AT1G05580
2031987	AT1G05590
2031997	AT1G05600
6530296073	AT1G05600
2032002	AT1G05610
504954075	AT1G05615
4515100497	AT1G05620
2032007	AT1G05620
2031932	AT1G05630
1009021223	AT1G05630
2031947	AT1G05640
2031952	AT1G05650
2031962	AT1G05660
2031972	AT1G05670
5019473867	AT1G05670
6530296074	AT1G05675
2031982	AT1G05680
2031992	AT1G05690
2031922	AT1G05700
2031977	AT1G05710
1005715371	AT1G05710
1006229795	AT1G05710
1006229796	AT1G05710
6530296075	AT1G05710
2031927	AT1G05720
2031942	AT1G05730
2031957	AT1G05740
2198677	AT1G05750
2198682	AT1G05760
2198692	AT1G05770
2198702	AT1G05780
504954006	AT1G05785
1005715200	AT1G05785
4010711668	AT1G05790
2198712	AT1G05790
2198727	AT1G05800
3692275	AT1G05805
2198767	AT1G05810
2198732	AT1G05820
4515100498	AT1G05820
4010711669	AT1G05830
2198742	AT1G05830
4010711670	AT1G05835
2198752	AT1G05840
2198687	AT1G05850
2198697	AT1G05860
2198707	AT1G05870
1006229906	AT1G05870
6530296076	AT1G05870
6530296077	AT1G05870
6530296078	AT1G05880
2198717	AT1G05880
2198722	AT1G05890
6530296079	AT1G05890
1009021374	AT1G05894
1006229907	AT1G05900
2198737	AT1G05900
2198747	AT1G05910
2198757	AT1G05920
4515100499	AT1G05925
3433084	AT1G05930
2198860	AT1G05940
2198870	AT1G05950
2198845	AT1G05960
5019473868	AT1G05960
1009021213	AT1G05970
2198875	AT1G05970
1005715197	AT1G05980
2198780	AT1G05990
2198790	AT1G06000
6530296080	AT1G06002
2198805	AT1G06010
2198820	AT1G06020
2198830	AT1G06030
2198840	AT1G06040
1005715198	AT1G06040
2198865	AT1G06050
2198795	AT1G06060
2198855	AT1G06070
2198785	AT1G06080
2198800	AT1G06090
2198815	AT1G06100
2198825	AT1G06110
2198835	AT1G06120
2198850	AT1G06130
1005715199	AT1G06130
1006229908	AT1G06135
4515100500	AT1G06137
2198810	AT1G06140
4010711671	AT1G06148
5019473869	AT1G06148
4515100501	AT1G06149
6530296081	AT1G06150
2198775	AT1G06150
2038499	AT1G06160
